fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
6.9;0.58;0.58;8.2;0.032;29.0;169.0;0.99275;3.28;0.44;12.2;6
6.4;0.29;0.44;3.6;0.197;75.0;183.0;0.9942;3.01;0.38;9.1;5
6.4;0.55;0.26;9.6;0.027;20.0;104.0;0.9924;3.22;0.73;13.1;6
6.6;0.24;0.27;15.8;0.035;46.0;188.0;0.9982;3.24;0.51;9.2;5
7.3;0.51;0.29;11.3;0.034;61.0;224.0;0.99683;3.14;0.56;9.5;6
6.9;0.25;0.47;8.4;0.042;36.0;156.0;0.99604;3.15;0.55;9.4;6
6.6;0.24;0.35;7.7;0.031;36.0;135.0;0.9938;3.19;0.37;10.5;5
7.2;0.31;0.5;13.3;0.056;68.0;195.0;0.9982;3.01;0.47;9.2;5
6.9;0.29;0.4;19.45;0.043;36.0;156.0;0.9996;2.93;0.47;8.9;5
5.9;0.27;0.29;11.4;0.036;31.0;115.0;0.9949;3.35;0.48;10.5;8
